qkey,attribute,group,input_prompt,output_token,output_dist,ordinal,question
Q1,commuter_profile,"Workers age 30 to 54, with high earnings, living in Manhattan and working in Manhattan.","Question: What is the commuter profile of this respondent?
A. Workers age 30 to 54, with high earnings, living in Manhattan and working in Manhattan.
B. N/A
C. N/A
D. N/A
E. N/A
Answer: A.

Answer the following question keeping in mind your previous answers.
Question: Traffic congestion is a major problem in NYC.
A. Strongly disagree
B. Disagree
C. Neutral
D. Agree
E. Strongly agree
Answer:","[' D', ' A', ' B', ' B', ' D', ' D', ' E', ' A', ' C', ' A', ' B', ' C', ' A', ' B', ' D', ' C', ' B', ' C', ' D', ' A', ' D', ' D', ' C', ' B', ' E', ' B', ' A', ' A', ' E', ' D', ' D', ' D', ' C', ' E', ' C', ' C', ' E', ' D', ' E', ' C', ' D', ' A', ' B', ' B', ' A', ' B', ' A', ' B', ' D', ' C', ' C', ' B', ' B', ' E', ' D', ' D', ' B', ' D', ' B', ' C', ' E', ' D', ' C', ' D', ' E', ' D', ' B', ' A', ' B', ' B', ' B', ' E', ' E', ' B', ' D', ' C', ' E', ' C', ' B', ' B', ' C', ' B', ' C', ' E', ' C', ' B', ' E', ' C', ' A', ' A', ' A', ' D', ' D', ' C', ' A', ' C', ' E', ' C', ' E', ' E']","[0.14291218322642527, 0.19533779428985948, 0.2608101735518574, 0.22308276326181917, 0.17785708567003872, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",Traffic congestion is a major problem in NYC.
Q2,commuter_profile,"Workers age 30 to 54, with high earnings, living in Manhattan and working in Manhattan.","Question: What is the commuter profile of this respondent?
A. Workers age 30 to 54, with high earnings, living in Manhattan and working in Manhattan.
B. N/A
C. N/A
D. N/A
E. N/A
Answer: A.

Answer the following question keeping in mind your previous answers.
Question: Public transit should be prioritized over road capacity expansion.
A. Strongly disagree
B. Disagree
C. Neutral
D. Agree
E. Strongly agree
Answer:","[' A', ' D', ' A', ' C', ' D', ' D', ' C', ' C', ' A', ' C', ' B', ' D', ' C', ' D', ' C', ' B', ' D', ' D', ' B', ' A', ' C', ' C', ' D', ' C', ' C', ' C', ' B', ' A', ' A', ' E', ' D', ' B', ' E', ' C', ' A', ' D', ' C', ' E', ' D', ' A', ' C', ' D', ' E', ' B', ' C', ' D', ' B', ' D', ' D', ' A', ' C', ' B', ' B', ' C', ' E', ' C', ' A', ' C', ' D', ' E', ' D', ' A', ' E', ' C', ' A', ' A', ' A', ' D', ' A', ' D', ' A', ' C', ' C', ' A', ' A', ' E', ' E', ' A', ' D', ' E', ' E', ' E', ' B', ' D', ' C', ' E', ' D', ' D', ' D', ' C', ' D', ' A', ' B', ' E', ' C', ' D', ' C', ' B', ' C', ' E']","[0.16618115792397278, 0.2184410111214931, 0.27613531190459956, 0.20360941089987902, 0.1356331081500555, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",Public transit should be prioritized over road capacity expansion.
Q4,commuter_profile,"Workers age 30 to 54, with high earnings, living in Manhattan and working in Manhattan.","Question: What is the commuter profile of this respondent?
A. Workers age 30 to 54, with high earnings, living in Manhattan and working in Manhattan.
B. N/A
C. N/A
D. N/A
E. N/A
Answer: A.

Answer the following question keeping in mind your previous answers.
Question: I am satisfied with my current commuting options.
A. Strongly disagree
B. Disagree
C. Neutral
D. Agree
E. Strongly agree
Answer:","[' C', ' C', ' E', ' B', ' B', ' A', ' A', ' A', ' B', ' C', ' E', ' D', ' C', ' C', ' D', ' B', ' A', ' E', ' C', ' A', ' A', ' A', ' E', ' A', ' C', ' E', ' A', ' C', ' C', ' E', ' B', ' B', ' B', ' A', ' D', ' D', ' C', ' A', ' D', ' D', ' D', ' B', ' D', ' C', ' C', ' C', ' B', ' C', ' D', ' D', ' C', ' D', ' E', ' A', ' B', ' B', ' A', ' D', ' D', ' C', ' E', ' C', ' B', ' A', ' C', ' D', ' C', ' A', ' C', ' A', ' C', ' A', ' B', ' D', ' D', ' C', ' B', ' D', ' B', ' A', ' B', ' D', ' C', ' B', ' E', ' D', ' B', ' E', ' B', ' A', ' C', ' E', ' C', ' C', ' C', ' B', ' B', ' C', ' C', ' E']","[0.13426093136952627, 0.2015495295792729, 0.2955528456503913, 0.20794739842796017, 0.16068929497284917, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",I am satisfied with my current commuting options.
Q1,commuter_profile,"Workers age 30 to 54, with high earnings, living in NY_outside_NYC and working in Manhattan.","Question: What is the commuter profile of this respondent?
A. Workers age 30 to 54, with high earnings, living in NY_outside_NYC and working in Manhattan.
B. N/A
C. N/A
D. N/A
E. N/A
Answer: A.

Answer the following question keeping in mind your previous answers.
Question: Traffic congestion is a major problem in NYC.
A. Strongly disagree
B. Disagree
C. Neutral
D. Agree
E. Strongly agree
Answer:","[' B', ' C', ' A', ' C', ' A', ' A', ' B', ' A', ' B', ' D', ' A', ' D', ' B', ' D', ' D', ' B', ' E', ' D', ' A', ' C', ' D', ' E', ' B', ' B', ' D', ' E', ' A', ' A', ' D', ' B', ' C', ' E', ' D', ' D', ' E', ' D', ' D', ' D', ' C', ' A', ' E', ' E', ' C', ' D', ' A', ' C', ' D', ' B', ' C', ' E', ' B', ' C', ' A', ' C', ' E', ' D', ' A', ' E', ' D', ' C', ' B', ' B', ' B', ' D', ' A', ' E', ' A', ' D', ' C', ' C', ' B', ' C', ' C', ' E', ' D', ' C', ' D', ' C', ' B', ' A', ' E', ' E', ' A', ' D', ' D', ' E', ' A', ' A', ' C', ' C', ' A', ' D', ' D', ' C', ' E', ' C', ' D', ' C', ' C', ' C']","[0.13273570605510665, 0.19617065685978144, 0.2788147209646416, 0.22579104200104216, 0.16648787411942825, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",Traffic congestion is a major problem in NYC.
Q2,commuter_profile,"Workers age 30 to 54, with high earnings, living in NY_outside_NYC and working in Manhattan.","Question: What is the commuter profile of this respondent?
A. Workers age 30 to 54, with high earnings, living in NY_outside_NYC and working in Manhattan.
B. N/A
C. N/A
D. N/A
E. N/A
Answer: A.

Answer the following question keeping in mind your previous answers.
Question: Public transit should be prioritized over road capacity expansion.
A. Strongly disagree
B. Disagree
C. Neutral
D. Agree
E. Strongly agree
Answer:","[' E', ' C', ' C', ' D', ' B', ' C', ' C', ' E', ' A', ' A', ' B', ' D', ' D', ' A', ' E', ' C', ' E', ' E', ' A', ' E', ' C', ' B', ' C', ' A', ' D', ' C', ' A', ' B', ' C', ' D', ' B', ' A', ' B', ' A', ' B', ' E', ' B', ' B', ' D', ' B', ' A', ' B', ' C', ' D', ' D', ' A', ' B', ' A', ' C', ' C', ' D', ' C', ' C', ' B', ' C', ' A', ' A', ' D', ' B', ' A', ' D', ' B', ' B', ' C', ' E', ' A', ' C', ' A', ' D', ' C', ' A', ' C', ' C', ' A', ' C', ' D', ' D', ' D', ' C', ' D', ' A', ' C', ' B', ' A', ' A', ' A', ' E', ' C', ' B', ' C', ' D', ' E', ' E', ' A', ' B', ' C', ' B', ' C', ' B', ' E']","[0.15247667508136808, 0.2116928988378839, 0.2939064836931415, 0.20841090464524303, 0.1335130377423636, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",Public transit should be prioritized over road capacity expansion.
Q4,commuter_profile,"Workers age 30 to 54, with high earnings, living in NY_outside_NYC and working in Manhattan.","Question: What is the commuter profile of this respondent?
A. Workers age 30 to 54, with high earnings, living in NY_outside_NYC and working in Manhattan.
B. N/A
C. N/A
D. N/A
E. N/A
Answer: A.

Answer the following question keeping in mind your previous answers.
Question: I am satisfied with my current commuting options.
A. Strongly disagree
B. Disagree
C. Neutral
D. Agree
E. Strongly agree
Answer:","[' C', ' C', ' C', ' C', ' C', ' C', ' A', ' C', ' A', ' A', ' B', ' E', ' C', ' C', ' E', ' E', ' C', ' B', ' C', ' C', ' E', ' A', ' C', ' D', ' C', ' C', ' D', ' B', ' E', ' E', ' A', ' C', ' C', ' C', ' C', ' B', ' D', ' E', ' E', ' E', ' B', ' D', ' D', ' C', ' D', ' B', ' D', ' B', ' C', ' B', ' C', ' A', ' B', ' D', ' B', ' D', ' D', ' C', ' C', ' B', ' C', ' E', ' E', ' C', ' C', ' E', ' C', ' D', ' A', ' B', ' D', ' C', ' D', ' C', ' E', ' A', ' B', ' D', ' C', ' D', ' C', ' D', ' D', ' B', ' A', ' B', ' C', ' E', ' E', ' D', ' B', ' E', ' A', ' B', ' D', ' C', ' C', ' B', ' A', ' A']","[0.12986201309463988, 0.19342888953781823, 0.3043063575309638, 0.21078685330531477, 0.1616158865312633, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",I am satisfied with my current commuting options.
Q1,commuter_profile,"Workers age 30 to 54, with high earnings, living in Brooklyn and working in Manhattan.","Question: What is the commuter profile of this respondent?
A. Workers age 30 to 54, with high earnings, living in Brooklyn and working in Manhattan.
B. N/A
C. N/A
D. N/A
E. N/A
Answer: A.

Answer the following question keeping in mind your previous answers.
Question: Traffic congestion is a major problem in NYC.
A. Strongly disagree
B. Disagree
C. Neutral
D. Agree
E. Strongly agree
Answer:","[' C', ' A', ' D', ' B', ' E', ' B', ' D', ' B', ' E', ' E', ' A', ' D', ' B', ' C', ' E', ' B', ' B', ' A', ' A', ' C', ' B', ' A', ' D', ' B', ' B', ' B', ' E', ' B', ' D', ' E', ' C', ' B', ' A', ' D', ' B', ' C', ' D', ' D', ' B', ' C', ' B', ' B', ' C', ' A', ' A', ' B', ' B', ' C', ' B', ' C', ' D', ' D', ' C', ' E', ' A', ' C', ' D', ' C', ' C', ' B', ' D', ' B', ' C', ' D', ' D', ' E', ' B', ' B', ' B', ' D', ' C', ' D', ' C', ' C', ' E', ' C', ' C', ' D', ' E', ' E', ' C', ' A', ' A', ' A', ' A', ' D', ' C', ' A', ' D', ' C', ' C', ' E', ' A', ' C', ' C', ' C', ' B', ' D', ' E', ' E']","[0.14220302572581667, 0.20053840912375728, 0.26985392527675334, 0.2185343685064482, 0.1688702713672244, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",Traffic congestion is a major problem in NYC.
Q2,commuter_profile,"Workers age 30 to 54, with high earnings, living in Brooklyn and working in Manhattan.","Question: What is the commuter profile of this respondent?
A. Workers age 30 to 54, with high earnings, living in Brooklyn and working in Manhattan.
B. N/A
C. N/A
D. N/A
E. N/A
Answer: A.

Answer the following question keeping in mind your previous answers.
Question: Public transit should be prioritized over road capacity expansion.
A. Strongly disagree
B. Disagree
C. Neutral
D. Agree
E. Strongly agree
Answer:","[' A', ' C', ' A', ' D', ' C', ' A', ' A', ' D', ' A', ' D', ' C', ' C', ' D', ' C', ' C', ' C', ' B', ' A', ' C', ' B', ' D', ' B', ' C', ' E', ' C', ' D', ' D', ' E', ' B', ' D', ' A', ' B', ' C', ' B', ' C', ' B', ' B', ' C', ' C', ' D', ' C', ' B', ' E', ' D', ' C', ' C', ' A', ' B', ' A', ' E', ' D', ' A', ' D', ' B', ' D', ' C', ' B', ' A', ' B', ' C', ' D', ' A', ' C', ' E', ' A', ' C', ' D', ' C', ' E', ' C', ' C', ' B', ' C', ' C', ' E', ' D', ' B', ' E', ' C', ' D', ' B', ' B', ' C', ' C', ' B', ' E', ' E', ' D', ' E', ' D', ' C', ' A', ' C', ' E', ' C', ' D', ' B', ' A', ' C', ' B']","[0.16154438877310098, 0.21908668161823477, 0.27912367355130474, 0.20421124197913493, 0.1360340140782246, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",Public transit should be prioritized over road capacity expansion.
Q4,commuter_profile,"Workers age 30 to 54, with high earnings, living in Brooklyn and working in Manhattan.","Question: What is the commuter profile of this respondent?
A. Workers age 30 to 54, with high earnings, living in Brooklyn and working in Manhattan.
B. N/A
C. N/A
D. N/A
E. N/A
Answer: A.

Answer the following question keeping in mind your previous answers.
Question: I am satisfied with my current commuting options.
A. Strongly disagree
B. Disagree
C. Neutral
D. Agree
E. Strongly agree
Answer:","[' C', ' B', ' C', ' B', ' C', ' E', ' A', ' B', ' D', ' A', ' B', ' D', ' E', ' B', ' B', ' E', ' B', ' C', ' C', ' C', ' E', ' E', ' D', ' D', ' D', ' D', ' C', ' B', ' B', ' E', ' D', ' A', ' E', ' B', ' D', ' C', ' B', ' B', ' C', ' C', ' C', ' D', ' D', ' E', ' C', ' E', ' C', ' E', ' D', ' D', ' A', ' C', ' C', ' A', ' C', ' C', ' A', ' A', ' C', ' C', ' E', ' E', ' D', ' D', ' B', ' D', ' A', ' B', ' C', ' B', ' A', ' C', ' E', ' A', ' B', ' E', ' C', ' C', ' C', ' D', ' C', ' C', ' C', ' D', ' A', ' C', ' D', ' A', ' B', ' C', ' D', ' C', ' C', ' B', ' C', ' E', ' A', ' A', ' B', ' A']","[0.132500206789359, 0.2052203348506473, 0.30093572570993743, 0.2052203348506473, 0.15612339779940898, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",I am satisfied with my current commuting options.
Q1,commuter_profile,"Workers age 30 to 54, with high earnings, living in Queens and working in Manhattan.","Question: What is the commuter profile of this respondent?
A. Workers age 30 to 54, with high earnings, living in Queens and working in Manhattan.
B. N/A
C. N/A
D. N/A
E. N/A
Answer: A.

Answer the following question keeping in mind your previous answers.
Question: Traffic congestion is a major problem in NYC.
A. Strongly disagree
B. Disagree
C. Neutral
D. Agree
E. Strongly agree
Answer:","[' B', ' C', ' B', ' D', ' B', ' C', ' E', ' C', ' E', ' D', ' C', ' D', ' C', ' C', ' E', ' C', ' E', ' E', ' A', ' B', ' C', ' D', ' B', ' C', ' C', ' D', ' E', ' D', ' B', ' D', ' C', ' E', ' C', ' E', ' E', ' D', ' D', ' D', ' C', ' B', ' E', ' C', ' A', ' C', ' C', ' B', ' E', ' A', ' E', ' C', ' B', ' C', ' C', ' A', ' D', ' D', ' E', ' D', ' D', ' E', ' E', ' D', ' C', ' C', ' D', ' E', ' D', ' E', ' A', ' C', ' A', ' C', ' C', ' C', ' E', ' B', ' D', ' C', ' B', ' E', ' A', ' C', ' C', ' C', ' E', ' C', ' E', ' B', ' C', ' B', ' D', ' C', ' D', ' A', ' C', ' E', ' A', ' D', ' D', ' D']","[0.1414170350752353, 0.20415933044097648, 0.27046716932049575, 0.2173264759907997, 0.16662998917249267, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",Traffic congestion is a major problem in NYC.
