attribute,group,steering_QA,steering_BIO,steering_PORTRAY
AGE,18-24,"What is your age group?
(A) 18-24
(B) 25-44
(C) 45-64
(D) 65+
Answer: (A) 18-24",Below you will be asked to provide a short description of your age group and then answer some questions. Description: I am in the age group 18-24.,Answer the following question as if you were in the age group of 18-24.
AGE,25-44,"What is your age group?
(A) 18-24
(B) 25-44
(C) 45-64
(D) 65+
Answer: (B) 25-44",Below you will be asked to provide a short description of your age group and then answer some questions. Description: I am in the age group 25-44.,Answer the following question as if you were in the age group of 25-44.
AGE,45-64,"What is your age group?
(A) 18-24
(B) 25-44
(C) 45-64
(D) 65+
Answer: (C) 45-64",Below you will be asked to provide a short description of your age group and then answer some questions. Description: I am in the age group 45-64.,Answer the following question as if you were in the age group of 45-64.
AGE,65+,"What is your age group?
(A) 18-24
(B) 25-44
(C) 45-64
(D) 65+
Answer: (D) 65+",Below you will be asked to provide a short description of your age group and then answer some questions. Description: I am in the age group 65+.,Answer the following question as if you were in the age group of 65+.
GENDER,Female,"What is your gender?
(A) Male
(B) Female
Answer: (B) Female",Below you will be asked to provide a short description of your gender and then answer some questions. Description: I identify as Female.,Answer the following question as if you identified as Female.
GENDER,Male,"What is your gender?
(A) Male
(B) Female
Answer: (A) Male",Below you will be asked to provide a short description of your gender and then answer some questions. Description: I identify as Male.,Answer the following question as if you identified as Male.
INCOME,$100K-$200K,"What is your annual household income?
(A) Under $50K
(B) $50K-$100K
(C) $100K-$200K
(D) $200K+
Answer: (C) $100K-$200K",Below you will be asked to provide a short description of your household income level and then answer some questions. Description: My annual household income is $100K-$200K.,Answer the following question as if your annual household income were $100K-$200K.
INCOME,$200K+,"What is your annual household income?
(A) Under $50K
(B) $50K-$100K
(C) $100K-$200K
(D) $200K+
Answer: (D) $200K+",Below you will be asked to provide a short description of your household income level and then answer some questions. Description: My annual household income is $200K or more.,Answer the following question as if your annual household income were $200K or more.
INCOME,$50K-$100K,"What is your annual household income?
(A) Under $50K
(B) $50K-$100K
(C) $100K-$200K
(D) $200K+
Answer: (B) $50K-$100K",Below you will be asked to provide a short description of your household income level and then answer some questions. Description: My annual household income is $50K-$100K.,Answer the following question as if your annual household income were $50K-$100K.
INCOME,Under $50K,"What is your annual household income?
(A) Under $50K
(B) $50K-$100K
(C) $100K-$200K
(D) $200K+
Answer: (A) Under $50K",Below you will be asked to provide a short description of your household income level and then answer some questions. Description: My annual household income is under $50K.,Answer the following question as if your annual household income were under $50K.
BOROUGH,Bronx,"Which NYC borough do you live in?
(A) Bronx
(B) Brooklyn
(C) Manhattan
(D) Queens
(E) Staten Island
Answer: (A) Bronx","Below you will be asked to provide a short description of your NYC borough of residence and then answer some questions. Description: I currently reside in the Bronx, New York City.","Answer the following question as if you currently resided in the Bronx, New York City."
BOROUGH,Brooklyn,"Which NYC borough do you live in?
(A) Bronx
(B) Brooklyn
(C) Manhattan
(D) Queens
(E) Staten Island
Answer: (B) Brooklyn","Below you will be asked to provide a short description of your NYC borough of residence and then answer some questions. Description: I currently reside in Brooklyn, New York City.","Answer the following question as if you currently resided in Brooklyn, New York City."
BOROUGH,Manhattan,"Which NYC borough do you live in?
(A) Bronx
(B) Brooklyn
(C) Manhattan
(D) Queens
(E) Staten Island
Answer: (C) Manhattan","Below you will be asked to provide a short description of your NYC borough of residence and then answer some questions. Description: I currently reside in Manhattan, New York City.","Answer the following question as if you currently resided in Manhattan, New York City."
BOROUGH,Queens,"Which NYC borough do you live in?
(A) Bronx
(B) Brooklyn
(C) Manhattan
(D) Queens
(E) Staten Island
Answer: (D) Queens","Below you will be asked to provide a short description of your NYC borough of residence and then answer some questions. Description: I currently reside in Queens, New York City.","Answer the following question as if you currently resided in Queens, New York City."
BOROUGH,Staten Island,"Which NYC borough do you live in?
(A) Bronx
(B) Brooklyn
(C) Manhattan
(D) Queens
(E) Staten Island
Answer: (E) Staten Island","Below you will be asked to provide a short description of your NYC borough of residence and then answer some questions. Description: I currently reside in Staten Island, New York City.","Answer the following question as if you currently resided in Staten Island, New York City."
RACE,Non-White,"How do you identify racially?
(A) White
(B) Non-White
Answer: (B) Non-White",Below you will be asked to provide a short description of your racial/ethnic background and then answer some questions. Description: I identify as Non-White.,Answer the following question as if you identified as Non-White.
RACE,White,"How do you identify racially?
(A) White
(B) Non-White
Answer: (A) White",Below you will be asked to provide a short description of your racial/ethnic background and then answer some questions. Description: I identify as White.,Answer the following question as if you identified as White.
